"item","half1","half2","amt","categ"
"Apple Sticks (8)","Apple","Sticks (12)",0,"Appetizer"
"Beef Chow Mein","Beef","Chow Mein",0,"Chow Mein"
"Beef Egg Foo Young","Beef","Egg Foo Young",0,"Egg Foo Young"
"Beef Fried Rice","Beef","Fried Rice",0,"Fried Rice"
"Beef Lo Mein","Beef","Lo Mein",0,"Lo Mein"
"Beef Mai Fun","Beef","Mai Fun",0,"Mai Fun"
"Beef w/ Broccoli","Beef w/","Broccoli",0,"Beef"
"Beef w/ Chinese Veg.","Beef w/","Chinese Veg.",0,"Beef"
"Beef w/ Garlic Sauce","Beef w/","Garlic Sauce",0,"Beef"
"Beef w/ Mixed Veg.","Beef w/","Mixed Veg.",0,"Beef"
"Beef w/ Mushroom","Beef w/","Mushroom",0,"Beef"
"Beef w/ Snow Peas","Beef w/","Snow Peas",0,"Beef"
"Boneless Spare Ribs","Boneless","Spare Ribs",0,"Appetizer"
"Broccoli w/ Garlic Sauce","Broccoli w/","Garlic Sauce",0,"Vegetable"
"Buddhist Delight","Buddhist","Delight",0,"Vegetable"
"Cheese Wontons (8)","Cheese","Wontons (8)",0,"Appetizer"
"Chicken Chow Mein","Chicken","Chow Mein",0,"Chow Mein"
"Chicken Egg Foo Young","Chicken","Egg Foo Young",0,"Egg Foo Young"
"Chicken Fried Rice","Chicken","Fried Rice",0,"Fried Rice"
"Chicken Lo Mein","Chicken","Lo Mein",0,"Lo Mein"
"Chicken Mai Fun","Chicken","Mai Fun",0,"Mai Fun"
"Chicken Noodle Soup","Chicken","Noodle Soup",0,"Soup"
"Chicken Rice Soup","Chicken","Rice Soup",0,"Soup"
"Chicken w/ Broccoli","Chicken w/","Broccoli",0,"Chicken"
"Chicken w/ Cashew Nuts","Chicken w/","Cashew Nuts",0,"Chicken"
"Chicken w/ Garlic Sauce","Chicken w/","Garlic Sauce",0,"Chicken"
"Chicken w/ Mixed Veg.","Chicken w/","Mixed Veg.",0,"Chicken"
"Chicken w/ Snow Peas","Chicken w/","Snow Peas",0,"Chicken"
"Coral Chicken","Coral","Chicken",0,"Chicken"
"Coral Sauce","Coral","Sauce",0,"Side Order"
"Coral Shrimp","Coral","Shrimp",0,"Shrimp"
"Crab & Shrimp Garlic Sauce","Crab & Shrimp","Garlic Sauce",0,"Shrimp"
"Crispy Chicken","Crispy","Chicken",0,"Chicken"
"Curry Beef w/ Onions","Curry Beef","w/ Onions",0,"Beef"
"Curry Chicken w/ Onions","Curry Chicken","w/ Onions",0,"Chicken"
"Diced Chicken & Shrimp","Diced Chicken","& Shrimp",0,"Chicken"
"Dumpling Sauce","Dumpling","Sauce",0,"Side Order"
"Egg Drop Soup","Egg","Drop Soup",0,"Soup"
"Four Seasons","Four","Seasons",0,"Szechuan & Hunan"
"Fried Dumplings (8)","Fried","Dumplings (8)",0,"Appetizer"
"Fried Noodles","Fried","Noodles",0,"Side Order"
"Fried Nuggets (8)","Fried","Nuggets (8)",0,"Appetizer"
"Fried Onions (8)","Fried","Onions (12)",0,"Appetizer"
"Fried Pork Wontons (10)","Fried Pork","Wontons (10)",0,"Appetizer"
"Fried Scallops (8)","Fried","Scallops (8)",0,"Appetizer"
"Fried Shrimp (20)","Fried","Shrimp (20)",0,"Appetizer"
"General Tso's Chicken","General Tso's","Chicken",0,"Chicken"
"Happy Family","Happy","Family",0,"Szechuan & Hunan"
"Hot & Sour Soup","Hot &","Sour Soup",0,"Soup"
"Hot Oil","Hot","Oil",0,"Side Order"
"House Pan Fried Noodles","House Pan","Fried Noodles",0,"Szechuan & Hunan"
"House Special Chow Mein","House Special","Chow Mein",0,"Chow Mein"
"House Special Fried Rice","House Special","Fried Rice",0,"Fried Rice"
"House Special Lo Mein","House Special","Lo Mein",0,"Lo Mein"
"House Special Mai Fun","House Special","Mai Fun",0,"Mai Fun"
"House Special Soup","House Special","Soup",0,"Soup"
"Hunan Bean Curd","Hunan Bean","Curd",0,"Vegetable"
"Hunan Beef","Hunan","Beef",0,"Szechuan & Hunan"
"Hunan Chicken","Hunan","Chicken",0,"Szechuan & Hunan"
"Hunan Triple Delight","Hunan Triple","Delight",0,"Szechuan & Hunan"
"Kum Po Chicken","Kum Po","Chicken",0,"Chicken"
"Kum Po Shrimp","Kum Po","Shrimp",0,"Shrimp"
"Ma Po Tofu","Ma Po","Tofu",0,"Vegetable"
"Mixed Veg. w/ Garlic Sauce","Mixed Veg. w/","Garlic Sauce",0,"Vegetable"
"Mongolian Beef","Mongolian","Beef",0,"Beef"
"Moo Goo Gai Pan","Moo Goo","Gai Pan",0,"Chicken"
"Moo Shu Chicken","Moo Shu","Chicken",0,"Szechuan & Hunan"
"Moo Shu Pork","Moo Shu","Pork",0,"Szechuan & Hunan"
"Moo Shu Shrimp","Moo Shu","Shrimp",0,"Szechuan & Hunan"
"Moo Shu Vegetable","Moo Shu","Vegetable",0,"Vegetable"
"Orange Beef","Orange","Beef",0,"Beef"
"Orange Chicken","Orange","Chicken",0,"Chicken"
"Pepper Chicken","Pepper","Chicken",0,"Chicken"
"Pepper Steak w/ Onions","Pepper Steak","w/ Onions",0,"Beef"
"Plain Fried Rice","Plain","Fried Rice",0,"Fried Rice"
"Plain Lo Mein","Plain","Lo Mein",0,"Lo Mein"
"Plain Mai Fun","Plain","Mai Fun",0,"Mai Fun"
"Pork Chow Mein","Pork","Chow Mein",0,"Chow Mein"
"Pork Egg Foo Young","Pork","Egg Foo Young",0,"Egg Foo Young"
"Pork Egg Roll","Pork Egg","Roll",0,"Appetizer"
"Pork Fried Rice","Pork","Fried Rice",0,"Fried Rice"
"Pork Lo Mein","Pork","Lo Mein",0,"Lo Mein"
"Pork Mai Fun","Pork","Mai Fun",0,"Mai Fun"
"Pork w/ Broccoli","Pork w/","Broccoli",0,"Pork"
"Pork w/ Chinese Veg.","Pork w/","Chinese Veg.",0,"Pork"
"Pork w/ Garlic Sauce","Pork w/","Garlic Sauce",0,"Pork"
"Pork w/ Mushroom","Pork w/","Mushroom",0,"Pork"
"Pork w/ Snow Peas","Pork w/","Snow Peas",0,"Pork"
"Regular Fried Rice","Regular","Fried Rice",0,"Fried Rice"
"Regular Lo Mein","Regular","Lo Mein",0,"Lo Mein"
"Regular Mai Fun","Regular","Mai Fun",0,"Mai Fun"
"Sauteed Sliced Pork","Sauteed","Sliced Pork",0,"Pork"
"Sauteed Vegetable","Sauteed","Vegetable",0,"Vegetable"
"Seafood Delight","Seafood","Delight",0,"Szechuan & Hunan"
"Seafood Pan Fried Noodles","Seafood Pan","Fried Noodles",0,"Szechuan & Hunan"
"Seafood Soup","Seafood","Soup",0,"Soup"
"Sesame Chicken","Sesame","Chicken",0,"Chicken"
"Shrimp Chow Mein","Shrimp","Chow Mein",0,"Chow Mein"
"Shrimp Egg Foo Young","Shrimp","Egg Foo Young",0,"Egg Foo Young"
"Shrimp Egg Roll","Shrimp Egg","Roll",0,"Appetizer"
"Shrimp Fried Rice","Shrimp","Fried Rice",0,"Fried Rice"
"Shrimp Lo Mein","Shrimp","Lo Mein",0,"Lo Mein"
"Shrimp Mai Fun","Shrimp","Mai Fun",0,"Mai Fun"
"Shrimp w/ Broccoli","Shrimp w/","Broccoli",0,"Shrimp"
"Shrimp w/ Cashew Nuts","Shrimp w/","Cashew Nuts",0,"Shrimp"
"Shrimp w/ Chinese Veg.","Shrimp w/","Chinese Veg.",0,"Shrimp"
"Shrimp w/ Curry Sauce","Shrimp w/","Curry Sauce",0,"Shrimp"
"Shrimp w/ Garlic Sauce","Shrimp w/","Garlic Sauce",0,"Shrimp"
"Shrimp w/ Lobster Sauce","Shrimp w/","Lobster Sauce",0,"Shrimp"
"Shrimp w/ Mixed Veg.","Shrimp w/","Mixed Veg.",0,"Shrimp"
"Shrimp w/ Snow Peas","Shrimp w/","Snow Peas",0,"Shrimp"
"Spring Roll (2)","Spring","Roll (2)",0,"Appetizer"
"Steam Broccoli","Steam","Broccoli",0,"Vegetable"
"Steam Chicken w/ Broccoli","Steam Chicken","w/ Broccoli",0,"Vegetable"
"Steam Chicken w/ Mixed Veg.","Steam Chicken","w/ Mixed Veg.",0,"Vegetable"
"Steam Dumplings (8)","Steam","Dumplings (8)",0,"Appetizer"
"Steam Mixed Veg.","Steam","Mixed Veg,",0,"Vegetable"
"Steam Shrimp w/ Broccoli","Steam Shrimp","w/ Broccoli",0,"Vegetable"
"Steam Shrimp w/ Mixed Veg.","Steam Shrimp","w/ Mixed Veg.",0,"Vegetable"
"Sweet & Sour Chicken","Sweet &","Sour Chicken",0,"Chicken"
"Sweet & Sour Pork","Sweet &","Sour Pork",0,"Pork"
"Sweet & Sour Sauce","Sweet &","Sour Sauce",0,"Side Order"
"Sweet & Sour Shrimp","Sweet &","Sour Shrimp",0,"Shrimp"
"Szechuan Chicken","Szechuan","Chicken",0,"Szechuan & Hunan"
"Teriyaki Beef (5)","Teriyaki","Beef (5)",0,"Appetizer"
"Teriyaki Chicken (5)","Teriyaki","Chicken (5)",0,"Appetizer"
"Veg. w/ Bean Curd Soup","Veg. w/ Bean","Curd Soup",0,"Soup"
"Vegetable Chow Mein","Vegetable","Chow Mein",0,"Chow Mein"
"Vegetable Egg Foo Young","Vegetable","Egg Foo Young",0,"Egg Foo Young"
"Vegetable Fried Rice","Vegetable","Fried Rice",0,"Fried Rice"
"Vegetable Lo Mein","Vegetable","Lo Mein",0,"Lo Mein"
"Vegetable Mai Fun","Vegetable","Mai Fun",0,"Mai Fun"
"White Rice","White","Rice",0,"Side Order"
"Wonton Egg Drop Soup","Wonton Egg","Drop Soup",0,"Soup"
"Wonton Soup","Wonton","Soup",0,"Soup"
