"item","size1","size2","size3","size4","amt","categ"
"Apple Sticks (8)",2.75,NULL,NULL,NULL,0,"Appetizers"
"Beef Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
"Beef Egg Foo Young",NULL,9.5,NULL,8.3,0,"Egg Foo Young"
"Beef Fried Rice",5.95,8.95,NULL,NULL,0,"Fried Rice"
"Beef Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
"Beef Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
"Beef w/ Broccoli",6.99,9.95,6.25,8.3,0,"Beef"
"Beef w/ Chinese Veg.",6.99,9.95,6.25,8.3,0,"Beef"
"Beef w/ Garlic Sauce",6.99,9.95,6.25,8.3,0,"Beef"
"Beef w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Beef"
"Beef w/ Mushroom",6.99,9.95,6.25,8.3,0,"Beef"
"Beef w/ Snow Peas",6.99,9.95,6.25,8.3,0,"Beef"
"Boneless Spare Ribs",6.25,10.99,6.5,8.5,0,"Appetizers"
"Broccoli w/ Garlic Sauce",NULL,8.25,NULL,NULL,0,"Vegetable"
"Buddhist Delight",NULL,8.25,NULL,NULL,0,"Vegetable"
"Cheese Wontons (8)",4.5,NULL,NULL,NULL,0,"Appetizers"
"Chicken Chow Mein",5.5,7.95,6.25,8.3,0,"Chow Mein"
"Chicken Egg Foo Young",NULL,8.5,NULL,8.3,0,"Egg Foo Young"
"Chicken Fried Rice",5.5,7.95,NULL,NULL,0,"Fried Rice"
"Chicken Lo Mein",5.5,7.95,6.25,8.3,0,"Lo Mein"
"Chicken Mai Fun",5.5,7.95,6.25,8.3,0,"Mai Fun"
"Chicken Noodle Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Chicken Rice Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Chicken w/ Broccoli",6.35,9.25,6.25,8.3,0,"Poultry"
"Chicken w/ Cashew Nuts",6.35,9.25,6.25,8.3,0,"Poultry"
"Chicken w/ Garlic Sauce",6.35,9.25,6.25,8.3,0,"Poultry"
"Chicken w/ Mixed Veg.",6.35,9.25,6.25,8.3,0,"Poultry"
"Chicken w/ Snow Peas",6.35,9.25,6.25,8.3,0,"Poultry"
"Coral Chicken",NULL,10.35,6.5,8.3,0,"Poultry"
"Coral Sauce",1,NULL,NULL,NULL,0,"Side Orders"
"Coral Shrimp",NULL,12.99,6.5,8.5,0,"Seafood"
"Crab & Shrimp Garlic Sauce",NULL,9.95,6.25,8.3,0,"Seafood"
"Crispy Chicken",NULL,10.35,6.5,8.3,0,"Poultry"
"Curry Beef w/ Onions",6.99,9.95,6.25,8.3,0,"Beef"
"Curry Chicken w/ Onions",6.35,9.25,6.25,8.3,0,"Poultry"
"Diced Chicken & Shrimp",6.35,9.25,6.25,8.3,0,"Poultry"
"Dumpling Sauce",0.5,NULL,NULL,NULL,0,"Side Orders"
"Egg Drop Soup",1.99,2.99,NULL,NULL,0,"Soup"
"Four Seasons",NULL,10.99,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Fried Dumplings",5.25,NULL,NULL,NULL,0,"Appetizers"
"Fried Noodles",0.5,NULL,NULL,NULL,0,"Side Orders"
"Fried Nuggets (8)",3.99,NULL,NULL,NULL,0,"Appetizers"
"Fried Onions (8)",2.75,NULL,NULL,NULL,0,"Appetizers"
"Fried Pork Wontons (8)",4.5,NULL,NULL,NULL,0,"Appetizers"
"Fried Scallops (8)",3.99,NULL,NULL,NULL,0,"Appetizers"
"Fried Shrimp",6.99,NULL,NULL,NULL,0,"Appetizers"
"General Tso's Chicken",NULL,10.35,6.5,8.5,0,"Poultry"
"Happy Family",NULL,11.7,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Hot & Sour Soup",2.7,3.99,NULL,NULL,0,"Soup"
"Hot Oil",0.5,NULL,NULL,NULL,0,"Side Orders"
"House Pan Fried Noodles",NULL,11.7,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"House Special Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
"House Special Fried Rice",5.95,8.95,NULL,NULL,0,"Fried Rice"
"House Special Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
"House Special Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
"House Special Soup",4.95,NULL,NULL,NULL,0,"Soup"
"Hunan Bean Curd",NULL,8.25,NULL,NULL,0,"Vegetable"
"Hunan Beef",NULL,10.35,6.5,8.5,0,"Szechuan & Hunan Cuisine"
"Hunan Chicken",NULL,10.35,6.5,8.5,0,"Szechuan & Hunan Cuisine"
"Hunan Triple Delight",NULL,10.65,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Kum Po Chicken",6.35,9.25,6.25,8.3,0,"Poultry"
"Kum Po Shrimp",6.99,9.95,6.25,8.3,0,"Seafood"
"Ma Po Tofu",NULL,8.25,NULL,NULL,0,"Vegetable"
"Mixed Veg. w/ Garlic Sauce",NULL,8.25,NULL,NULL,0,"Vegetable"
"Mongolian Beef",NULL,10.35,NULL,8.5,0,"Beef"
"Moo Goo Gai Pan",6.35,9.25,6.25,8.3,0,"Poultry"
"Moo Shu Chicken",NULL,9.25,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Moo Shu Pork",NULL,9.25,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Moo Shu Shrimp",NULL,9.95,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Moo Shu Vegetable",NULL,8.25,NULL,NULL,0,"Vegetable"
"Orange Beef",NULL,10.65,6.5,8.5,0,"Beef"
"Orange Chicken",NULL,10.35,6.5,8.5,0,"Poultry"
"Pepper Chicken",NULL,10.35,NULL,8.5,0,"Poultry"
"Pepper Steak w/ Onions",6.99,9.95,6.25,8.3,0,"Beef"
"Plain Fried Rice",5.1,7.5,NULL,NULL,0,"Fried Rice"
"Plain Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
"Plain Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
"Pork Chow Mein",5.5,7.95,6.25,8.3,0,"Chow Mein"
"Pork Egg Foo Young",NULL,8.5,NULL,8.3,0,"Egg Foo Young"
"Pork Egg Roll",1.29,NULL,NULL,NULL,0,"Appetizers"
"Pork Fried Rice",5.5,7.95,NULL,NULL,0,"Fried Rice"
"Pork Lo Mein",5.5,7.95,6.25,8.3,0,"Lo Mein"
"Pork Mai Fun",5.5,7.95,6.25,8.3,0,"Mai Fun"
"Pork w/ Broccoli",6.35,9.25,6.25,8.3,0,"Pork"
"Pork w/ Chinese Veg.",6.35,9.25,6.25,8.3,0,"Pork"
"Pork w/ Garlic Sauce",6.35,9.25,6.25,8.3,0,"Pork"
"Pork w/ Mushroom",6.35,9.25,6.25,8.3,0,"Pork"
"Pork w/ Snow Peas",6.35,9.25,6.25,8.3,0,"Pork"
"Regular Fried Rice",5.1,7.5,NULL,NULL,0,"Fried Rice"
"Regular Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
"Regular Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
"Sauteed Sliced Pork",NULL,9.25,NULL,NULL,0,"Pork"
"Sauteed Vegetable",NULL,8.25,NULL,NULL,0,"Vegetable"
"Seafood Delight",NULL,11.7,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Seafood Pan Fried Noodles",NULL,11.7,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Seafood Soup",5.95,NULL,NULL,NULL,0,"Soup"
"Sesame Chicken",NULL,10.35,6.5,8.5,0,"Poultry"
"Shrimp Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
"Shrimp Egg Foo Young",NULL,9.5,NULL,8.3,0,"Egg Foo Young"
"Shrimp Egg Roll",1.39,NULL,NULL,NULL,0,"Appetizers"
"Shrimp Fried Rice",5.95,8.95,NULL,NULL,0,"Fried Rice"
"Shrimp Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
"Shrimp Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
"Shrimp w/ Broccoli",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Cashew Nuts",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Chinese Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Curry Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Garlic Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Lobster Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Snow Peas",6.99,9.95,6.25,8.3,0,"Seafood"
"Spring Roll (2)",2.5,NULL,NULL,NULL,0,"Appetizers"
"Steam Broccoli",NULL,8.25,NULL,NULL,0,"Vegetable"
"Steam Chicken w/ Broccoli",6.35,9.25,6.25,8.3,0,"Vegetable"
"Steam Chicken w/ Mixed Veg.",6.35,9.25,6.25,8.3,0,"Vegetable"
"Steam Dumplings",5.25,NULL,NULL,NULL,0,"Appetizers"
"Steam Mixed Veg.",NULL,8.25,NULL,NULL,0,"Vegetable"
"Steam Shrimp w/ Broccoli",6.99,9.95,6.25,8.3,0,"Vegetable"
"Steam Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Vegetable"
"Sweet & Sour Chicken",NULL,9.25,6.25,8.3,0,"Poultry"
"Sweet & Sour Pork",NULL,9.25,6.25,8.3,0,"Pork"
"Sweet & Sour Sauce",1,NULL,NULL,NULL,0,"Side Orders"
"Sweet & Sour Shrimp",NULL,9.95,6.25,8.3,0,"Seafood"
"Szechuan Chicken",NULL,10.35,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Teriyaki Beef (5)",4.99,NULL,NULL,NULL,0,"Appetizers"
"Teriyaki Chicken (5)",4.69,NULL,NULL,NULL,0,"Appetizers"
"Veg. w/ Bean Curd Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Vegetable Chow Mein",5.1,7.5,6.25,8.3,0,"Chow Mein"
"Vegetable Egg Foo Young",NULL,8.5,NULL,8.3,0,"Egg Foo Young"
"Vegetable Fried Rice",5.1,7.5,NULL,NULL,0,"Fried Rice"
"Vegetable Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
"Vegetable Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
"White Rice",2.5,3,NULL,NULL,0,"Side Orders"
"Wonton Egg Drop Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Wonton Soup",2.5,3.5,NULL,NULL,0,"Soup"
